0,1,2,3
1,"Stephen Curry, PG",Golden State Warriors,"$55,761,216"
2,"Joel Embiid, C",Philadelphia 76ers,"$51,415,938"
3,"Nikola Jokic, C",Denver Nuggets,"$51,415,938"
4,"Kevin Durant, PF",Phoenix Suns,"$51,179,021"
5,"Bradley Beal, SG",Phoenix Suns,"$50,203,930"
6,"Kawhi Leonard, SF",LA Clippers,"$49,350,000"
7,"Devin Booker, SG",Phoenix Suns,"$49,205,800"
8,"Paul George, F",Philadelphia 76ers,"$49,205,800"
9,"Karl-Anthony Towns, C",New York Knicks,"$49,205,800"
10,"Jaylen Brown, SG",Boston Celtics,"$49,205,800"
